state,date1,date2,n,rate,lwr,upr,metric,survey
ID,4/1/2021,5/1/2021,1963,69.9,67,72.79999999999998,S,Donor
ID,5/1/2021,6/1/2021,1950,79.3,77.1,81.4,S,Donor
ID,6/1/2021,7/1/2021,1928,76.9,73.9,79.7,S,Donor
ID,7/1/2021,8/1/2021,1874,84.2,80.9,87.1,S,Donor
ID,8/1/2021,9/1/2021,1854,83.20000000000002,80.5,85.6,S,Donor
ID,9/1/2021,10/1/2021,2288,87.4,85.5,89.1,S,Donor
ID,10/1/2021,11/1/2021,2106,90.3,88.3,92,S,Donor
ID,11/1/2021,12/1/2021,1965,93.2,91.3,94.8,S,Donor
ID,12/1/2021,1/1/2022,2218,93.8,92.2,95.09999999999998,S,Donor
IL,7/1/2020,8/1/2020,4373,4.126732220443631,2.903064258,5.798490738623371,S,Donor
IL,8/1/2020,9/1/2020,4313,4.814885231,3.5323904474843495,6.549895664270809,S,Donor
IL,9/1/2020,10/1/2020,4328,5.252980591497228,4.005961182994454,6.996025878003698,S,Donor
IL,10/1/2020,11/1/2020,4263,7.699483931503634,6.138282899366644,9.698967863,S,Donor
IL,11/1/2020,12/1/2020,4330,12.547228637413395,10.614757505773671,14.796304849884528,S,Donor
IL,12/1/2020,1/1/2021,4266,17.20675105485232,14.88886544772621,19.841397093295825,S,Donor
IL,1/1/2021,2/1/2021,4319,22.991572123176663,20.116693679092386,26.032090761750403,S,Donor
IL,2/1/2021,3/1/2021,4213,37.909921671018274,34.83394255874674,40.98590078328982,S,Donor
IL,3/1/2021,4/1/2021,4310,47.957633410672855,45.45686774941995,50.458399071925754,S,Donor
IL,4/1/2021,5/1/2021,4238,68.18440302029259,65.59447852760736,70.77432751297782,S,Donor
IL,5/1/2021,6/1/2021,4260,83.75992957746479,80.79650234741784,86.47314554,S,Donor
IL,6/1/2021,7/1/2021,4175,88.79451497,86.4388503,90.80304191616767,S,Donor
IL,7/1/2021,8/1/2021,4412,89.78862194,87.60788758,91.53730734360833,S,Donor
IL,8/1/2021,9/1/2021,4244,89.52327992459944,87.28350612629595,91.53713477851083,S,Donor
IL,9/1/2021,10/1/2021,4726,92.19909013965297,90.52873465933135,93.62113838341092,S,Donor
IL,10/1/2021,11/1/2021,4297,92.88994647428439,91.19138934140098,94.27195717942752,S,Donor
IL,11/1/2021,12/1/2021,3943,93.45617550088765,91.50344915,95.03464367233072,S,Donor
IL,12/1/2021,1/1/2022,3885,94.97436293436293,93.65536679536679,96.09953667953668,S,Donor
IN,7/1/2020,8/1/2020,793,0.5,0.2,1.3,S,Donor
IN,8/1/2020,9/1/2020,2372,2.8,1.9,4.1,S,Donor
IN,9/1/2020,10/1/2020,2413,4.2,3.2,5.7,S,Donor
IN,10/1/2020,11/1/2020,2349,5.5,4.3,7.000000000000001,S,Donor
IN,11/1/2020,12/1/2020,2462,8.2,6.5,10.2,S,Donor
IN,12/1/2020,1/1/2021,2297,14.899999999999999,12.9,17.1,S,Donor
IN,1/1/2021,2/1/2021,2479,26.400000000000002,23.999999999999996,28.800000000000004,S,Donor
IN,2/1/2021,3/1/2021,2406,39.1,36.2,41.9,S,Donor
IN,3/1/2021,4/1/2021,2675,49.2,46.8,51.7,S,Donor
IN,4/1/2021,5/1/2021,2745,72.5,70.1,75,S,Donor
IN,5/1/2021,6/1/2021,2778,82.2,80.4,84,S,Donor
IN,6/1/2021,7/1/2021,2631,87.1,85.3,88.7,S,Donor
IN,7/1/2021,8/1/2021,2717,85.2,83.4,86.9,S,Donor
IN,8/1/2021,9/1/2021,2687,88.5,86.79999999999998,90,S,Donor
IN,9/1/2021,10/1/2021,2751,92.4,91.00000000000001,93.6,S,Donor
IN,10/1/2021,11/1/2021,2643,93.5,92.10000000000001,94.7,S,Donor
IN,11/1/2021,12/1/2021,2853,93.80000000000001,92.3,95,S,Donor
IN,12/1/2021,1/1/2022,2562,93.30000000000001,91.70000000000002,94.60000000000001,S,Donor
KS,7/1/2020,8/1/2020,2052,1.6678362573099417,0.9517543859649122,2.836695906432749,S,Donor
KS,8/1/2020,9/1/2020,2073,1.6237337192474677,0.9922817173178968,2.711866859623733,S,Donor
KS,9/1/2020,10/1/2020,2759,4.118303733,3.0504168176875677,5.718303733,S,Donor
KS,10/1/2020,11/1/2020,2532,6.882385466034756,5.228238546603476,9.177725118483414,S,Donor
KS,11/1/2020,12/1/2020,3923,9.797399949,8.001503951057865,11.99739994901861,S,Donor
KS,12/1/2020,1/1/2021,3981,17.238658628485304,15.128761617683997,19.601029891986936,S,Donor
KS,1/1/2021,2/1/2021,3890,28.612493573264786,26.320102827763492,30.908688946015424,S,Donor
KS,2/1/2021,3/1/2021,3944,38.77543103448276,35.98466024340771,41.618509127789046,S,Donor
KS,3/1/2021,4/1/2021,3884,54.89732234809475,52.50998970133883,57.38465499485067,S,Donor
KS,4/1/2021,5/1/2021,3867,76.21913628135506,73.28316524437548,78.90791311093872,S,Donor
KS,5/1/2021,6/1/2021,3970,82.49460957178842,79.99460957178842,84.73433249370275,S,Donor
KS,6/1/2021,7/1/2021,3904,85.57489754098361,83.18432377049182,87.66547131,S,Donor
KS,7/1/2021,8/1/2021,3981,88.10236121577492,85.92283345892992,89.98188897261996,S,Donor
KS,8/1/2021,9/1/2021,3913,88.00810120112446,85.71891132123689,90.04548939432661,S,Donor
KS,9/1/2021,10/1/2021,4147,89.31470942850252,87.31470942850252,91.06628888353026,S,Donor
KS,10/1/2021,11/1/2021,4050,91.58637037037039,90.03977777777777,92.88409876543209,S,Donor
KS,11/1/2021,12/1/2021,3922,91.08281489036206,88.93579806221315,92.87883732789393,S,Donor
KS,12/1/2021,1/1/2022,3994,93.96009013520279,92.61947921882825,95.10070105157737,S,Donor
KY,7/1/2020,8/1/2020,1070,1.7000000000000002,1,2.9,S,Donor
KY,8/1/2020,9/1/2020,1002,2.8,1.5,5.2,S,Donor
KY,9/1/2020,10/1/2020,928,2.6,1.5,4.3999999999999995,S,Donor
KY,10/1/2020,11/1/2020,988,5.3,3.7000000000000006,7.6,S,Donor
KY,11/1/2020,12/1/2020,919,8.5,6.3,11.3,S,Donor
KY,12/1/2020,1/1/2021,1081,15,12.099999999999998,18.4,S,Donor
KY,1/1/2021,2/1/2021,982,22.2,19.2,25.6,S,Donor
KY,2/1/2021,3/1/2021,1044,36.3,32.3,40.4,S,Donor
KY,3/1/2021,4/1/2021,922,57.3,52.900000000000006,61.80000000000001,S,Donor
KY,4/1/2021,5/1/2021,963,74.7,70.9,78.4,S,Donor
KY,5/1/2021,6/1/2021,917,82.9,79.5,85.8,S,Donor
KY,6/1/2021,7/1/2021,969,87.4,84.3,89.9,S,Donor
KY,7/1/2021,8/1/2021,1000,88.3,85.6,90.5,S,Donor
KY,8/1/2021,9/1/2021,1058,85.7,82.2,88.6,S,Donor
KY,9/1/2021,10/1/2021,1095,89.4,86.6,91.7,S,Donor
KY,10/1/2021,11/1/2021,1138,92.5,90,94.40000000000002,S,Donor
KY,11/1/2021,12/1/2021,961,93.70000000000002,91.9,95.2,S,Donor
KY,12/1/2021,1/1/2022,1156,94.8,93.1,96,S,Donor
LA,7/1/2020,8/1/2020,1721,8.8,6.9,11.3,S,Donor
LA,8/1/2020,9/1/2020,1746,9.8,7.8,12.4,S,Donor
LA,9/1/2020,10/1/2020,1713,10.2,7.700000000000001,13.5,S,Donor
LA,10/1/2020,11/1/2020,1715,12,9.9,14.400000000000002,S,Donor
LA,11/1/2020,12/1/2020,1669,11.5,8.9,14.7,S,Donor
LA,12/1/2020,1/1/2021,1635,14.800000000000002,12,18.100000000000005,S,Donor
LA,1/1/2021,2/1/2021,1698,24.3,21.4,27.500000000000004,S,Donor
LA,2/1/2021,3/1/2021,1654,38.70000000000001,34.5,42.800000000000004,S,Donor
LA,3/1/2021,4/1/2021,1695,50.8,47.6,53.900000000000006,S,Donor
LA,4/1/2021,5/1/2021,1553,72.19999999999999,69,75.30000000000001,S,Donor
LA,5/1/2021,6/1/2021,1623,78.8,76.1,81.30000000000001,S,Donor
LA,6/1/2021,7/1/2021,1632,79.5,75.6,83,S,Donor
LA,7/1/2021,8/1/2021,1697,85.5,82.8,87.79999999999998,S,Donor
LA,8/1/2021,9/1/2021,1581,87.1,84.60000000000001,89.2,S,Donor
LA,9/1/2021,10/1/2021,1411,93.5,90.3,95.6,S,Donor
LA,10/1/2021,11/1/2021,1631,90.89999999999999,88.4,92.8,S,Donor
LA,11/1/2021,12/1/2021,881,91.8,89.2,93.8,S,Donor
LA,12/1/2021,1/1/2022,1657,94.5,92.8,95.8,S,Donor
MA,7/1/2020,8/1/2020,1836,4.2,3.1,5.800000000000001,S,Donor
MA,8/1/2020,9/1/2020,1908,4.6,3.4000000000000004,6.199999999999999,S,Donor
MA,9/1/2020,10/1/2020,1927,3.6000000000000005,2.5,5,S,Donor
MA,10/1/2020,11/1/2020,1904,3.8,2.6,5.5,S,Donor
MA,11/1/2020,12/1/2020,1934,4.8,3.7000000000000006,6.3,S,Donor
MA,12/1/2020,1/1/2021,1911,8.4,6.5,10.7,S,Donor
MA,1/1/2021,2/1/2021,1925,14.7,12.4,17.3,S,Donor
MA,2/1/2021,3/1/2021,1914,20.5,18.2,22.9,S,Donor
MA,3/1/2021,4/1/2021,1969,40.6,38.2,43.1,S,Donor
MA,4/1/2021,5/1/2021,1952,67.3,64.3,70.3,S,Donor
MA,5/1/2021,6/1/2021,1935,89.6,87.5,91.3,S,Donor
MA,6/1/2021,7/1/2021,1949,95.10000000000001,93.6,96.2,S,Donor
MA,7/1/2021,8/1/2021,1987,93.8,92.00000000000001,95.3,S,Donor
MA,8/1/2021,9/1/2021,1944,95,93.6,96.1,S,Donor
MA,9/1/2021,10/1/2021,2176,95.7,94.7,96.60000000000001,S,Donor
MA,10/1/2021,11/1/2021,2195,96.1,94.69999999999999,97.2,S,Donor
MA,11/1/2021,12/1/2021,2032,97.1,96,98,S,Donor
MA,12/1/2021,1/1/2022,2022,97.1,96,98,S,Donor
MD,7/1/2020,8/1/2020,3599,2.5,1.7000000000000002,3.8,S,Donor
MD,8/1/2020,9/1/2020,3577,3.4000000000000004,2.5000000000000004,4.7,S,Donor
MD,9/1/2020,10/1/2020,3629,4,2.8,5.6,S,Donor
MD,10/1/2020,11/1/2020,3620,4.5,3.5000000000000004,5.7,S,Donor
MD,11/1/2020,12/1/2020,3554,4.500000000000001,3.5000000000000004,5.7,S,Donor
MD,12/1/2020,1/1/2021,3620,7.200000000000001,5.9,8.7,S,Donor
MD,1/1/2021,2/1/2021,3613,14.7,12.5,17.1,S,Donor
MD,2/1/2021,3/1/2021,3629,26.700000000000003,24.6,28.9,S,Donor
MD,3/1/2021,4/1/2021,3684,43.10000000000001,40.39999999999999,45.9,S,Donor
MD,4/1/2021,5/1/2021,3658,71.5,69.2,73.8,S,Donor
MD,5/1/2021,6/1/2021,3702,89.1,87.5,90.5,S,Donor
MD,6/1/2021,7/1/2021,3633,93.5,91.9,94.69999999999999,S,Donor
MD,7/1/2021,8/1/2021,3709,94.4,93,95.59999999999998,S,Donor
MD,8/1/2021,9/1/2021,3660,94.7,93.4,95.7,S,Donor
MD,9/1/2021,10/1/2021,3965,95.8,94.7,96.6,S,Donor
MD,10/1/2021,11/1/2021,3702,96,94.7,97,S,Donor
MD,11/1/2021,12/1/2021,3670,96.5,95.09999999999998,97.5,S,Donor
MD,12/1/2021,1/1/2022,3588,97.00000000000001,96,97.7,S,Donor
ME,7/1/2020,8/1/2020,2184,1.7000000000000002,1,2.8,S,Donor
ME,8/1/2020,9/1/2020,2065,1.1,0.8,1.7000000000000002,S,Donor
ME,9/1/2020,10/1/2020,2166,1.3,0.8,2.2,S,Donor
ME,10/1/2020,11/1/2020,2127,0.7,0.4,1.1,S,Donor
ME,11/1/2020,12/1/2020,2103,1.5,1,2.1,S,Donor
ME,12/1/2020,1/1/2021,2005,2.9,2.1,3.9,S,Donor
ME,1/1/2021,2/1/2021,2179,12.000000000000002,10.4,13.8,S,Donor
ME,2/1/2021,3/1/2021,2072,23.9,21.3,26.8,S,Donor
ME,3/1/2021,4/1/2021,2112,39,36.7,41.4,S,Donor
ME,4/1/2021,5/1/2021,2019,67.8,65.3,70.2,S,Donor
ME,5/1/2021,6/1/2021,2054,86.9,84.7,88.7,S,Donor
ME,6/1/2021,7/1/2021,1870,91.2,89.4,92.7,S,Donor
ME,7/1/2021,8/1/2021,1910,90.3,88,92.3,S,Donor
ME,8/1/2021,9/1/2021,1801,92.3,90.4,93.9,S,Donor
ME,9/1/2021,10/1/2021,2044,92.2,90.8,93.4,S,Donor
ME,10/1/2021,11/1/2021,1973,93.8,92.1,95.2,S,Donor
ME,11/1/2021,12/1/2021,1946,94,92.4,95.3,S,Donor
ME,12/1/2021,1/1/2022,1824,94.7,93.09999999999998,95.9,S,Donor
MI,7/1/2020,8/1/2020,3854,4.5,3.4000000000000004,5.8,S,Donor
MI,8/1/2020,9/1/2020,3844,4.4,3.3000000000000003,5.800000000000001,S,Donor
MI,9/1/2020,10/1/2020,3865,3.2,2.5,4.3,S,Donor
MI,10/1/2020,11/1/2020,3840,5.3,3.9,7.000000000000001,S,Donor
MI,11/1/2020,12/1/2020,3718,7.3,6,8.8,S,Donor
MI,12/1/2020,1/1/2021,3882,11.3,9.3,13.8,S,Donor
MI,1/1/2021,2/1/2021,3840,19.2,17.4,21.2,S,Donor
MI,2/1/2021,3/1/2021,3833,32.4,30.099999999999998,34.6,S,Donor
MI,3/1/2021,4/1/2021,3853,48.3,45.5,51.2,S,Donor
MI,4/1/2021,5/1/2021,3861,71.5,69.10000000000001,74,S,Donor
MI,5/1/2021,6/1/2021,3873,87.6,85.6,89.3,S,Donor
MI,6/1/2021,7/1/2021,3854,92.3,90.6,93.6,S,Donor
MI,7/1/2021,8/1/2021,3857,91.1,89.1,92.7,S,Donor
MI,8/1/2021,9/1/2021,3843,91.9,90.3,93.2,S,Donor
MI,9/1/2021,10/1/2021,3913,92.8,91.2,94.2,S,Donor
MI,10/1/2021,11/1/2021,3904,92.8,91.2,94.1,S,Donor
MI,11/1/2021,12/1/2021,3597,94.8,93.40000000000002,96,S,Donor
MI,12/1/2021,1/1/2022,3888,95,93.5,96.1,S,Donor
MN,7/1/2020,8/1/2020,2131,1.7000000000000002,0.9000000000000001,3.4000000000000004,S,Donor
MN,8/1/2020,9/1/2020,2097,1.8000000000000003,1.2,2.7,S,Donor
MN,9/1/2020,10/1/2020,2113,2.5,1.6,3.7000000000000006,S,Donor
MN,10/1/2020,11/1/2020,2048,3,2,4.4,S,Donor
MN,11/1/2020,12/1/2020,2112,8.8,7.1,10.7,S,Donor
MN,12/1/2020,1/1/2021,2110,14.800000000000002,12.9,17,S,Donor
MN,1/1/2021,2/1/2021,2208,22.9,20,26.1,S,Donor
MN,2/1/2021,3/1/2021,2098,30,26.899999999999995,33.1,S,Donor
MN,3/1/2021,4/1/2021,2174,47.20000000000001,44.6,49.9,S,Donor
MN,4/1/2021,5/1/2021,2046,70.7,67.7,73.7,S,Donor
MN,5/1/2021,6/1/2021,2281,82.3,79.9,84.5,S,Donor
MN,6/1/2021,7/1/2021,2172,87.2,84.7,89.4,S,Donor
MN,7/1/2021,8/1/2021,2086,90.6,89,91.9,S,Donor
MN,8/1/2021,9/1/2021,2098,89.5,87,91.6,S,Donor
MN,9/1/2021,10/1/2021,2572,91.09999999999998,89.2,92.60000000000001,S,Donor
MN,10/1/2021,11/1/2021,2224,92.50000000000001,90.8,93.9,S,Donor
MN,11/1/2021,12/1/2021,2144,94.5,92.9,95.7,S,Donor
MN,12/1/2021,1/1/2022,2260,95.9,94.4,97,S,Donor
MO,7/1/2020,8/1/2020,1230,0.9000000000000001,0.4,1.9,S,Donor
MO,8/1/2020,9/1/2020,1076,0.6,0.3,1.3,S,Donor
MO,9/1/2020,10/1/2020,1164,3.7000000000000006,2.5,5.6000000000000005,S,Donor
MO,10/1/2020,11/1/2020,1178,5.6,4.1,7.5,S,Donor
MO,11/1/2020,12/1/2020,1190,10.1,8.6,11.999999999999998,S,Donor
MO,12/1/2020,1/1/2021,1140,14.7,12.199999999999998,17.6,S,Donor
MO,1/1/2021,2/1/2021,1215,23.8,19.8,28.300000000000004,S,Donor
MO,2/1/2021,3/1/2021,1138,35.6,31.5,39.8,S,Donor
MO,3/1/2021,4/1/2021,1152,55.60000000000001,51.9,59.3,S,Donor
MO,4/1/2021,5/1/2021,1153,77.3,72.8,81.3,S,Donor
MO,5/1/2021,6/1/2021,1176,84.2,80.6,87.29999999999998,S,Donor
MO,6/1/2021,7/1/2021,1184,92.60000000000001,90.1,94.5,S,Donor
MO,7/1/2021,8/1/2021,1280,88.70000000000002,85.3,91.4,S,Donor
MO,8/1/2021,9/1/2021,1239,91.2,89,93,S,Donor
MO,9/1/2021,10/1/2021,1298,93.4,91.8,94.8,S,Donor
MO,10/1/2021,11/1/2021,1244,95.19999999999999,93.39999999999999,96.50000000000001,S,Donor
MO,11/1/2021,12/1/2021,1301,93.9,91.09999999999998,95.8,S,Donor
MO,12/1/2021,1/1/2022,1277,95.70000000000002,94.1,96.8,S,Donor
MS,7/1/2020,8/1/2020,2093,2.1,1.4,3.0999999999999996,S,Donor
MS,8/1/2020,9/1/2020,1964,5.7,4.4,7.200000000000001,S,Donor
MS,9/1/2020,10/1/2020,1872,8.4,6.800000000000001,10.3,S,Donor
MS,10/1/2020,11/1/2020,1608,10.5,8.7,12.8,S,Donor
MS,11/1/2020,12/1/2020,1972,16.1,13.699999999999998,18.9,S,Donor
MS,12/1/2020,1/1/2021,1949,16.9,14.899999999999999,19.1,S,Donor
MS,1/1/2021,2/1/2021,1624,26.5,23.6,29.299999999999997,S,Donor
MS,2/1/2021,3/1/2021,1745,43.99999999999999,40.8,47.3,S,Donor
MS,3/1/2021,4/1/2021,1946,54.50000000000001,51.1,57.8,S,Donor
MS,4/1/2021,5/1/2021,1907,70,67.6,72.3,S,Donor
MS,5/1/2021,6/1/2021,1653,66.6,63.7,69.49999999999999,S,Donor
MS,6/1/2021,7/1/2021,1661,71.8,69.1,74.6,S,Donor
MS,7/1/2021,8/1/2021,2095,77.1,74.4,79.6,S,Donor
MS,8/1/2021,9/1/2021,1948,83,80,85.6,S,Donor
MS,9/1/2021,10/1/2021,2122,86.7,84.5,88.5,S,Donor
MS,10/1/2021,11/1/2021,2056,90.6,88.8,92.2,S,Donor
MS,11/1/2021,12/1/2021,2070,89.3,87.7,90.7,S,Donor
MS,12/1/2021,1/1/2022,2064,91.6,90.1,92.9,S,Donor
MT,7/1/2020,8/1/2020,2540,1.2,0.7,2.1,S,Donor
MT,8/1/2020,9/1/2020,2754,1.7000000000000002,1.1,2.4,S,Donor
MT,9/1/2020,10/1/2020,2360,3,2.1,4.1,S,Donor
MT,10/1/2020,11/1/2020,2247,5.3,4.2,6.7,S,Donor
MT,11/1/2020,12/1/2020,2402,13.699999999999998,11.800000000000002,15.8,S,Donor
MT,12/1/2020,1/1/2021,2625,19.900000000000002,17.9,22.1,S,Donor
MT,1/1/2021,2/1/2021,2376,28.4,26.400000000000002,30.5,S,Donor
MT,2/1/2021,3/1/2021,2369,40.1,37.4,42.9,S,Donor
MT,3/1/2021,4/1/2021,2460,51.7,49.00000000000001,54.50000000000001,S,Donor
MT,4/1/2021,5/1/2021,2473,69.7,67.5,71.9,S,Donor
MT,5/1/2021,6/1/2021,2188,79.8,76.7,82.6,S,Donor
MT,6/1/2021,7/1/2021,2376,81.9,79.7,83.8,S,Donor
MT,7/1/2021,8/1/2021,2205,85.9,83.1,88.3,S,Donor
MT,8/1/2021,9/1/2021,2352,83.5,80.5,86.1,S,Donor
MT,9/1/2021,10/1/2021,2116,87.1,85.2,88.8,S,Donor
MT,10/1/2021,11/1/2021,2706,90.1,88.39999999999999,91.5,S,Donor
MT,11/1/2021,12/1/2021,2437,93.30000000000001,91.8,94.60000000000001,S,Donor
MT,12/1/2021,1/1/2022,2520,94.09999999999998,92.89999999999999,95.1,S,Donor
NC,7/1/2020,8/1/2020,4151,1.4,0.9000000000000001,2.1,S,Donor
NC,8/1/2020,9/1/2020,4126,3.1,2.2,4.4,S,Donor
NC,9/1/2020,10/1/2020,4074,3.5000000000000004,2.6,4.7,S,Donor
NC,10/1/2020,11/1/2020,4204,4,3.2,5,S,Donor
NC,11/1/2020,12/1/2020,4093,6.7,5.5,8.2,S,Donor
NC,12/1/2020,1/1/2021,4157,8.3,7.000000000000001,9.7,S,Donor
NC,1/1/2021,2/1/2021,4147,16.5,14.6,18.6,S,Donor
NC,2/1/2021,3/1/2021,4208,34.1,32,36.2,S,Donor
NC,3/1/2021,4/1/2021,4072,50,47.6,52.400000000000006,S,Donor
NC,4/1/2021,5/1/2021,4195,76.3,74.6,77.9,S,Donor
NC,5/1/2021,6/1/2021,4159,81.2,79.3,82.9,S,Donor
NC,6/1/2021,7/1/2021,4157,85.2,83.5,86.8,S,Donor
NC,7/1/2021,8/1/2021,4168,87.6,86.1,89,S,Donor
NC,8/1/2021,9/1/2021,4226,88.3,86.6,89.8,S,Donor
NC,9/1/2021,10/1/2021,4312,91.4,90.1,92.6,S,Donor
NC,10/1/2021,11/1/2021,4330,91.4,90.2,92.5,S,Donor
NC,11/1/2021,12/1/2021,4311,91.6,90.5,92.6,S,Donor
NC,12/1/2021,1/1/2022,4071,94.3,93.4,95.1,S,Donor
ND,7/1/2020,8/1/2020,1312,0.9000000000000001,0.4,1.9,S,Donor
ND,8/1/2020,9/1/2020,1365,2.2,1.2,4,S,Donor
ND,9/1/2020,10/1/2020,1287,5.1000000000000005,3.6000000000000005,7.3,S,Donor
ND,10/1/2020,11/1/2020,1235,4.6,3.5000000000000004,6.099999999999999,S,Donor
ND,11/1/2020,12/1/2020,1224,16.1,13.5,19.1,S,Donor
ND,12/1/2020,1/1/2021,1186,19.5,17.3,21.9,S,Donor
ND,1/1/2021,2/1/2021,944,25,21.8,28.199999999999996,S,Donor
ND,2/1/2021,3/1/2021,1206,42.70000000000001,38.8,46.7,S,Donor
ND,3/1/2021,4/1/2021,1168,56.00000000000001,53,58.9,S,Donor
ND,4/1/2021,5/1/2021,1189,74.4,71.9,76.9,S,Donor
ND,5/1/2021,6/1/2021,998,80.3,77.5,82.9,S,Donor
ND,6/1/2021,7/1/2021,1136,81,78,83.7,S,Donor
ND,7/1/2021,8/1/2021,1304,80.1,76.4,83.4,S,Donor
ND,8/1/2021,9/1/2021,1414,83.60000000000001,80.90000000000002,86,S,Donor
ND,9/1/2021,10/1/2021,984,86.7,83.59999999999998,89.3,S,Donor
ND,10/1/2021,11/1/2021,1308,89.1,86.9,90.9,S,Donor
ND,11/1/2021,12/1/2021,1263,90.20000000000002,87.7,92.30000000000001,S,Donor
ND,12/1/2021,1/1/2022,1301,93.10000000000001,91,94.7,S,Donor
NE,7/1/2020,8/1/2020,1723,1.3,0.8,2.2,S,Donor
NE,8/1/2020,9/1/2020,1753,2.9,1.9,4.4,S,Donor
NE,9/1/2020,10/1/2020,1651,3.8,2.6,5.500000000000001,S,Donor
NE,10/1/2020,11/1/2020,1719,8.4,6.7,10.5,S,Donor
NE,11/1/2020,12/1/2020,1718,17.2,15.199999999999998,19.4,S,Donor
NE,12/1/2020,1/1/2021,1817,23.8,20.9,27,S,Donor
NE,1/1/2021,2/1/2021,1695,31.000000000000007,27.800000000000004,34.2,S,Donor
NE,2/1/2021,3/1/2021,1806,42.7,39.2,46.1,S,Donor
NE,3/1/2021,4/1/2021,1663,57.3,53.5,61.199999999999996,S,Donor
NE,4/1/2021,5/1/2021,1798,79.1,76.3,81.6,S,Donor
NE,5/1/2021,6/1/2021,1698,83.3,80.8,85.4,S,Donor
NE,6/1/2021,7/1/2021,1756,86.9,84.7,88.8,S,Donor
NE,7/1/2021,8/1/2021,1701,85.4,82.4,88.00000000000001,S,Donor
NE,8/1/2021,9/1/2021,1741,89.5,87,91.6,S,Donor
NE,9/1/2021,10/1/2021,1806,91.9,90.2,93.4,S,Donor
NE,10/1/2021,11/1/2021,1747,92.7,91.2,93.89999999999999,S,Donor
NE,11/1/2021,12/1/2021,1603,91.8,90.1,93.2,S,Donor
NE,12/1/2021,1/1/2022,1778,93.5,91.4,95.1,S,Donor
NH,7/1/2020,8/1/2020,2010,1,0.7,1.5,S,Donor
NH,8/1/2020,9/1/2020,2090,1.6,1,2.4,S,Donor
NH,9/1/2020,10/1/2020,2138,1.4,0.8,2.5,S,Donor
NH,10/1/2020,11/1/2020,2224,1.4,0.9000000000000001,2.1,S,Donor
NH,11/1/2020,12/1/2020,2261,2.2,1.5,3,S,Donor
NH,12/1/2020,1/1/2021,2294,4.8,3.8,5.999999999999999,S,Donor
NH,1/1/2021,2/1/2021,2160,12.399999999999999,10.9,14.2,S,Donor
NH,2/1/2021,3/1/2021,2220,24.5,22.2,26.899999999999995,S,Donor
NH,3/1/2021,4/1/2021,2291,40.6,37.9,43.3,S,Donor
NH,4/1/2021,5/1/2021,2301,64.4,61.6,67.3,S,Donor
NH,5/1/2021,6/1/2021,2286,87.4,85.5,89.1,S,Donor
NH,6/1/2021,7/1/2021,2415,90.2,88.9,91.3,S,Donor
NH,7/1/2021,8/1/2021,2429,90.3,88.5,91.9,S,Donor
NH,8/1/2021,9/1/2021,2589,91.4,89.7,92.9,S,Donor
NH,9/1/2021,10/1/2021,2749,91.8,90.50000000000001,93,S,Donor
NH,10/1/2021,11/1/2021,2594,93.2,91.8,94.40000000000002,S,Donor
NH,11/1/2021,12/1/2021,2368,93.9,92.20000000000002,95.2,S,Donor
NH,12/1/2021,1/1/2022,2388,95.79999999999998,94.39999999999999,96.8,S,Donor
NJ,7/1/2020,8/1/2020,3241,4.8,3.3000000000000003,6.800000000000001,S,Donor
NJ,8/1/2020,9/1/2020,3303,2.6000000000000005,1.8000000000000003,3.8,S,Donor
NJ,9/1/2020,10/1/2020,3238,2.8,1.7000000000000002,4.500000000000001,S,Donor
NJ,10/1/2020,11/1/2020,3260,4.6,3,6.9,S,Donor
NJ,11/1/2020,12/1/2020,3296,5.3,3.8,7.3,S,Donor
NJ,12/1/2020,1/1/2021,3283,9.7,7.5,12.5,S,Donor
NJ,1/1/2021,2/1/2021,3287,16.7,14.3,19.4,S,Donor
NJ,2/1/2021,3/1/2021,3247,29.5,26.8,32.300000000000004,S,Donor
NJ,3/1/2021,4/1/2021,3317,50,47,53,S,Donor
NJ,4/1/2021,5/1/2021,3169,72.7,69.6,75.9,S,Donor
NJ,5/1/2021,6/1/2021,3289,88.69999999999999,86.30000000000001,90.7,S,Donor
NJ,6/1/2021,7/1/2021,3295,90.3,87.5,92.5,S,Donor
NJ,7/1/2021,8/1/2021,3325,93,91,94.5,S,Donor
NJ,8/1/2021,9/1/2021,3171,91.90000000000002,90.3,93.39999999999999,S,Donor
NJ,9/1/2021,10/1/2021,3453,94.1,92.5,95.4,S,Donor
NJ,10/1/2021,11/1/2021,3224,94.3,92.5,95.6,S,Donor
NJ,11/1/2021,12/1/2021,3138,95.1,93.6,96.3,S,Donor
NJ,12/1/2021,1/1/2022,3026,95.20000000000002,93.4,96.49999999999999,S,Donor
NM,7/1/2020,8/1/2020,3793,2.3444239388346957,1.7313999472712889,3.4379119430529923,S,Donor
NM,8/1/2020,9/1/2020,3691,4.788539691140612,3.7500677323218636,6.227011649959362,S,Donor
NM,9/1/2020,10/1/2020,3814,5.120870477189301,4.067121132669114,6.429994756,S,Donor
NM,10/1/2020,11/1/2020,3648,6.274671052631578,4.913815789473685,8.067269736842105,S,Donor
NM,11/1/2020,12/1/2020,3638,9.169901044529961,7.850577240241892,10.73389224848818,S,Donor
NM,12/1/2020,1/1/2021,3648,12.193969298245614,10.511348684210525,14.121929824561406,S,Donor
NM,1/1/2021,2/1/2021,3651,23.29786359901397,20.826294165981924,25.860805258833196,S,Donor
